Species;Size
Bleda_notatus;ok
Microtarsus_melanocephalos;ok
Eurillas_latirostris;ok
Eurillas_virens;ok
Hypsipetes_madagascariensis;ok
Iole_propinqua;ok
Phyllastrephus_fischeri;ok
Pycnonotus_barbatus;ok
Pycnonotus_blanfordi;ok
Pycnonotus_finlaysoni;ok
Pycnonotus_goiavier;ok
Pycnonotus_jocosus;ok
Rubigula_squamata;ok
Regulus_ignicapilla;ok
Regulus_regulus;ok
Anthoscopus_minutus;ok
Rhipidura_albiscapa;ok
Rhipidura_fuliginosa;ok
Rhipidura_hyperythra;ok
Rhipidura_rufifrons;ok
Cettia_cetti;ok
Hylia_prasina;ok
Sitta_europaea;ok
Acridotheres_burmannicus;ok
Aplonis_striata;ok
Gracula_religiosa;ok
Gracupica_nigricollis;ok
Hartlaubius_auratus;ok
Lamprotornis_chalybaeus;ok
Sturnus_vulgaris;ok
Curruca_cantillans;ok
Curruca_communis;ok
Curruca_undata;ok
Sylvia_atricapilla;ok
Cercomacroides_nigrescens;ok
Epinecrophylla_gutturalis;ok
Formicivora_grisea;ok
Myrmelastes_leucostigma;ok
Myrmoderus_ferrugineus;ok
Myrmotherula_longipennis;ok
Myrmotherula_schisticolor;ok
Percnostola_rufifrons;ok
Sclateria_naevia;ok
Taraba_major;ok
Thamnophilus_doliatus;ok
Coereba_flaveola;ok
Compsothraupis_loricata;ok
Lanio_fulvus;ok
Loxigilla_noctis;ok
Phrygilus_gayi;ok
Ramphocelus_carbo;ok
Saltator_grossus;ok
Saltator_maximus;ok
Sicalis_flaveola;ok
Sicalis_lutea;ok
Sporophila_americana;ok
Sporophila_minuta;ok
Sporophila_torqueola;ok
Tangara_chilensis;ok
Thraupis_episcopus;ok
Tangara_fastuosa;ok
Tangara_gyrola;ok
Tangara_labradorides;ok
Tangara_nigroviridis;ok
Thraupis_palmarum;ok
Volatinia_jacarina;ok
Mixornis_gularis;ok
Spelaeornis_troglodytoides;ok
Pachyramphus_surinamus;ok
Cistothorus_platensis;ok
Thryophilus_rufalbus;ok
Troglodytes_aedon;ok
Troglodytes_troglodytes;ok
Myadestes_obscurus;ok
Stizorhina_fraseri;ok
Turdus_albicollis;ok
Turdus_fumigatus;ok
Turdus_merula;ok
Turdus_philomelos;ok
Turdus_pilaris;ok
Cnemotriccus_fuscatus;ok
Elaenia_albiceps;ok
Elaenia_flavogaster;ok
Empidonax_flaviventris;ok
Lessonia_rufa;ok
Megarynchus_pitangua;ok
Myiarchus_tuberculifer;ok
Pitangus_sulphuratus;ok
Tyrannus_melancholicus;ok
Oncostoma_cinereigulare;ok
Rhynchocyclus_olivaceus;ok
Todirostrum_cinereum;ok
Myiobius_barbatus;ok
Artamella_viridis;ok
Bias_musicus;ok
Calicalicus_madagascariensis;ok
Euryceros_prevostii;ok
Falculea_palliata;ok
Leptopterus_chabert;ok
Megabyas_flammulatus;ok
Mystacornis_crossleyi;ok
Newtonia_amphichroa;ok
Newtonia_brunneicauda;ok
Prionops_plumatus;ok
Pseudobias_wardi;ok
Schetba_rufa;ok
Tylas_eduardi;ok
Vanga_curvirostris;ok
Xenopirostris_xenopirostris;ok
Vidua_chalybeata;ok
Vidua_macroura;ok
Zosterops_borbonicus;ok
Zosterops_chloronothos;ok
Zosterops_lugubris;ok
Accipiter_nisus;not_ok
Aquila_fasciata;not_ok
Buteo_buteo;not_ok
Circaetus_gallicus;not_ok
Milvus_milvus;not_ok
Pernis_apivorus;not_ok
Anas_eatoni;not_ok
Anas_melleri;not_ok
Anas_platyrhynchos;not_ok
Anas_superciliosa;not_ok
Aythya_ferina;not_ok
Cairina_moschata;not_ok
Chloephaga_picta;not_ok
Chloephaga_poliocephala;not_ok
Clangula_hyemalis;not_ok
Mergus_merganser;not_ok
Somateria_mollissima;not_ok
Tadorna_tadorna;not_ok
Thalassornis_leuconotus;not_ok
Lophoceros_alboterminatus;not_ok
Lophoceros_nasutus;not_ok
Caprimulgus_climacurus;not_ok
Steatornis_caripensis;not_ok
Burhinus_oedicnemus;not_ok
Anous_stolidus;not_ok
Chroicocephalus_brunnicephalus;not_ok
Chroicocephalus_cirrocephalus;not_ok
Chroicocephalus_genei;not_ok
Gelochelidon_nilotica;not_ok
Larus_michahellis;not_ok
Thalasseus_maximus;not_ok
Gallinago_undulata;not_ok
Limosa_lapponica;not_ok
Stercorarius_pomarinus;not_ok
Columba_leucomela;not_ok
Columba_palumbus;not_ok
Dacelo_novaeguineae;not_ok
Uratelornis_chimaera;not_ok
Centropus_leucogaster;not_ok
Centropus_sinensis;not_ok
Centropus_toulou;not_ok
Coua_caerulea;not_ok
Coua_coquereli;not_ok
Coua_ruficeps;not_ok
Coua_serriana;not_ok
Phaenicophaeus_tristis;not_ok
Piaya_cayana;not_ok
Rhynochetos_jubatus;not_ok
Falco_cherrug;not_ok
Falco_peregrinus;not_ok
Megapodius_cumingii;not_ok
Numida_meleagris;not_ok
Lagopus_lagopus;not_ok
Lophura_nycthemera;not_ok
Phasianus_colchicus;not_ok
Fulica_atra;not_ok
Gallirallus_australis;not_ok
Leptosomus_discolor;not_ok
Opisthocomus_hoazin;not_ok
Corvus_corone;not_ok
Corvus_frugilegus;not_ok
Dendrocitta_vagabunda;not_ok
Pica_pica;not_ok
Platysmurus_leucopterus;not_ok
Dicrurus_paradiseus;not_ok
Tyrannus_savana;not_ok
